name,text
Barry,Good news: 2015 was another great year for clean energy growth. https://t.co/IoCSX8ybwm #ActOnClimate
Hillary,"""Racism and sexism and bigotry have no place in our country.” —@ElizabethForMA in New Hampshire"
Barry,"We just announced the inaugural class of #ObamaFellows. These 20 civic leaders have carried out inspiring work around the world. Now, they’ll come together to collaborate, exchange ideas, and inspire a wave of civic innovation. Meet the Fellows: https://t.co/F7B9uDFqzK https://t.co/7UVbdYin2j"
Don,"This afternoon, it was my great honor to present @USMC Sergeant Major John Canley the Medal of Honor in the East Room of the @WhiteHouse! https://t.co/EI1DD4AkC9 https://t.co/6JJm1SRcQ9"
Barry,Show your support for the proposal to expand paid sick leave—add a comment today: https://t.co/3zFKbN3E0v #LeadOnLeave
Barry,Drop everything: Watch this—it's time to get covered and stay covered. http://t.co/aiPnr6QHv1 #ReadySetEnroll
Hillary,We can get mad at this. Tweet up a storm. Call him names. All those things. Or - we can do the only thing that really matters. Vote. Them. Out. November 6. Midterms. Diminish his power. Batter his ego. Raise your voice. Show them all who’s boss. Justice and dignity will prevail. https://t.co/k5M5vIJx3l
Hillary,"""She knows that in a democracy as big and diverse as this, we can't demonize each other.” —@POTUS on Hillary"
Hillary,"""Let's register to vote, show up to the polls, and vote for Hillary Clinton."" —@KingJames: https://t.co/tTgeqxNqYm https://t.co/PcBChoxpf9"
Don,"Deepest sympathies to Congresswoman Debbie Dingell and the entire family of John Dingell. Longest serving Congressman in Country’s history which, if people understand politics, means he was very smart. A great reputation and highly respected man."
Barry,"Our future depends on all our young people, including our boys and young men of color, being able to achieve their dreams. Today, I’m proud to share @MBK_Alliance’s first investments in communities devoted to this mission. Get inspired: https://t.co/dKLWPvrFPC"
Don,"In Florida there is a choice between a Harvard/Yale educated man named @RonDeSantisFL who has been a great Congressman and will be a great Governor - and a Dem who is a thief and who is Mayor of poorly run Tallahassee, said to be one of the most corrupt cities in the Country!"
Hillary,"I'm grateful to everyone who brought light into 2018: organizers, journalists, candidates, marchers, activists, and voters. Here's to you. Happy New Year. https://t.co/EHksvIpSXo"
Hillary,In which @realDonaldTrump basically proves our point. https://t.co/BCfxhPEmk8
Hillary,"What are you ready to flip states for? Now’s your chance to make it happen.

This Saturday is the 2018 https://t.co/bBt6Rr1PGy Day of Action. We’re texting, calling, and talking face-to-face with voters in 10 different states. And we need you with us. https://t.co/BLHJzYIcH5 https://t.co/RSCeyib46x"
Hillary,"When Hillary wanted to make sure every child in Arkansas got a quality education, she did her homework. https://t.co/vKu4XbHG4i"
Barry,Read President Obama's latest message to @OFA supporters about fighting alongside him in 2015: http://t.co/etpJ9hKCXl
Hillary,Donald Trump is using his foundation—funded by other people's money—to settle lawsuits. https://t.co/2LRtZBls9A
Barry,States across the country are taking action to #RaiseTheWage for hard-working residents: http://t.co/NAcMibPomz
Barry,LIVE: @VP Biden is speaking with @OFA supporters on the work ahead in 2016. https://t.co/k5iTk6DCbZ
Don,Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)s as they continue to grow. We are bringing back America faster than anyone thought possible!
Barry,The President discusses the importance of health care and marriage equality progress in his interview with @BuzzFeed: http://t.co/EGKNHMWp8J
Hillary,There's no question Russia's trying to put their thumb on the scales for Trump. There is a question of why Trump is denying it. #debatenight https://t.co/gFU1A5ycJP
Hillary,We make it almost impossible for too many women to balance work and family. That needs to change: https://t.co/C6549ALwVV https://t.co/nGWxFL0wgd
Hillary,"Here's what foreign policy experts, diplomats, and world leaders think about Hillary's four years as America's secretary of state: https://t.co/kMUPzAErRS"
Don,Excited to see our friends in Egypt opening the biggest Cathedral in the Middle East. President El-Sisi is moving his country to a more inclusive future!
Don,"WOW - if a conservative said this they would be boycotted and not allowed back in the public arena — Hillary said “all black people look the same” - incredibly racist thing to say Hillary! 

RT! https://t.co/eFWQCx8Wys"
Don,Landing in Montana now - at least everybody admits that my lines and crowds are far bigger than Barack Obama’s... https://t.co/PCibGjS209
Hillary,"""We know who Donald is. For five years, he has led the birther movement to de-legitimize our first black president.” —Hillary"
Don,Great interview by Jared. Nice to have extraordinarily smart people serving our Country! https://t.co/d6Tgrn4Tzn
Hillary,"""Why don't you trust women to make this choice for themselves?"" - @timkaine 

We couldn't have said it better ourselves. #PinkOutTheVote https://t.co/osWqt8vJEl"
Don,"Fake News, of which there is soooo much (this time the very tired New Yorker) falsely reported that I was going to take the extraordinary step of denying Intelligence Briefings to President Obama. Never discussed or thought of!"
Barry,Last call for health insurance this year: http://t.co/1jOkVIuE0L #GetCoveredNow
Hillary,"Here in America, we are taught to and we should respect each other, lift each other up, and celebrate our diversity."
Hillary,A #debate preview that says it all. https://t.co/vnn4VMByLB
Barry,There's a lot of misinformation out there—help spread the facts with the @OFA Truth Team: https://t.co/srdrvXgfKA https://t.co/MrkBKYeCnm
Don,"In the 2016 Election I was winning by so much in Florida that Broward County, which was very late with vote tabulation and probably getting ready to do a “number,” couldn’t do it because not enough people live in Broward for them to falsify a victory!"
Don,"Just had a long and very good call with President Xi of China. Deal is moving along very well. If made, it will be very comprehensive, covering all subjects, areas and points of dispute. Big progress being made!"
Don,"BREAKING: In Oval Office meeting today, the Chinese committed to buy an additional 10 million metric tons of U.S. soybeans. Hats off to @POTUS for bringing China to the table. Strategy is working. Show of good faith by the Chinese. Also indications of more good news to come."
Barry,"When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed person to shoot up a classroom. When you vote, you have the power to make sure a family keeps its health insurance."
Don,"After more than two years of Presidential Harassment, the only things that have been proven is that Democrats and other broke the law. The hostile Cohen testimony, given by a liar to reduce his prison time, proved no Collusion! His just written book manuscript showed what he....."
Hillary,Looking forward to honoring some brave young people tonight at @ChildDefender where I started my career. Tune in: https://t.co/4gmaM2A9Dx -H
Barry,"""Denying it or refusing to deal with it endangers our national security."" —President Obama on climate change #ActOnClimate"
Barry,"On International Women’s Day, I’m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And I’m celebrating some of the women who are building that future for all of us today."
Hillary,America has never made progress by thinking one person alone can fix our problems. https://t.co/mYba5FCBrb
Hillary,Gabby and Mark are right: “America is facing a serious but totally preventable epidemic of gun violence.” Join me in supporting them. https://t.co/lw902bwfLZ
Don,"The New York Times has a new Fake Story that now the Russians and Chinese (glad they finally added China) are listening to all of my calls on cellphones. Except that I rarely use a cellphone, &amp; when I do it’s government authorized. I like Hard Lines. Just more made up Fake News!"
Don,".@JerryNadler admits on #CNN they have no proof of Obstruction by @realDonaldTrump it's just his ""personal opinion""

Meet the new #WitchHunt 
Same as the old #WitchHunt 

cc @DonaldJTrumpJr https://t.co/zJURMcuMHo"
Hillary,"In the spirit of friendship, here's Donald Trump's ISIS plan for your consideration. #debate https://t.co/YCXFWZyiGA"
Hillary,"When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind of president he'd be."
Barry,Huge day for our Great Green Spinning Chunk of Awesome. Thank you world leaders for taking #ClimateAction. https://t.co/T1zYg1sRCW
Don,https://t.co/k2bOxapRtR
Barry,The bill would have put millions of people on a path to citizenship and grown the economy by a cumulative $1.2 trillion. #ImmigrationAction
Hillary,"Victory for Macron, for France, the EU, &amp; the world. 

Defeat to those interfering w/democracy. (But the media says I can't talk about that)"
Don,"I have asked Steve Daines, our great Republican Senator from Montana, to attend his daughter Annie’s wedding rather than coming to today’s vote. Steve was ready to do whatever he had to, but we had the necessary number. To the Daines Family, congratulations-have a wonderful day!"
Don,"I’ll never get the support of Dues Crazy union leadership, those people who rip-off their membership with ridiculously high dues, medical and other expenses while being paid a fortune. But the members love Trump. They look at our record economy, tax &amp; reg cuts, military etc. WIN!"
Don,https://t.co/bCvpOGCD4t
Don,"For 2nd night in row at Trump rally (tonite in Springfield, last nite in Las Vegas), crowd spontaneously breaks into cheers of ""KA-VA-NAUGH!"" at mention of the president nominating conservative judges"
Barry,#ClimateChangeIsReal. So is President Obama's 3-point game. http://t.co/M27bxCqJSG
Hillary,"George H.W. Bush was a beloved father &amp; grandfather, a war hero, a public servant, &amp; a class act. In my experiences w/ him, I always valued his desire to listen, look at evidence &amp; ask for ideas, even from people w/ different beliefs. My heart goes out to the entire Bush family."
Hillary,"""Donald, you don’t want to go there.” —Hillary on Trump asking what she’s done for the past 30 years https://t.co/j780NLwguv"
Barry,"This #WomensEqualityDay, say you'll continue the fight for progress. http://t.co/jsF29Z0GJj http://t.co/AmSm4f9r1W"
Hillary,"""The president commands our nuclear arsenal. Trump can’t command his own rhetoric."" —@azcentral https://t.co/n3GOmEin4N"
Hillary,18. We'll let @kurteichenwald ask this one: https://t.co/xnIl6JazS3
Don,“This is as good a time as I can remember to be an American Worker. We have the strongest economy in the world.”  Stuart Varney @foxandfriends  So true!
Barry,WATCH: President Obama is discussing progress in the fight against Ebola. http://t.co/YIjAAOD6dn
Barry,"""America is coming back. And I want to go full speed ahead."" —President Obama http://t.co/Tgfngj1TwO"
Don,"To all of the great people who are working so hard for your Country and not getting paid I say, THANK YOU - YOU ARE GREAT PATRIOTS! We must now work together, after decades of abuse, to finally fix the Humanitarian, Criminal &amp; Drug Crisis at our Border. WE WILL WIN BIG!"
Hillary,"""When it comes to the qualifications we should demand in a president...we need someone who’s going to take this job seriously.” —@FLOTUS"
Barry,"""If any agreement undercuts working families—I wouldn’t sign it."" —President Obama #LeadOnTrade"
Barry,"""I need you to stay involved. I need you to stay active."" —President Obama #OFAFallSummit"
Barry,"Employers have added an average of 213,000 jobs a month over the past six months. We have to keep up this progress. https://t.co/LHtWBnS0aw"
Don,"Americans will write our own economic destiny. Never believe the pessimists: Pro-growth, pro-worker policies work.

America is OPEN for business! https://t.co/fBVRZBcynC"
Barry,Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: https://t.co/zuSWzxSaqW #DoYourJob
Don,".@FLOTUS Melania and I were honored to visit with our GREAT U.S. MARINES at the Marine Barracks here in Washington, D.C. We love you @USMC @MBWDC! https://t.co/ASWmDZrDRK https://t.co/xYrPw9zzVv"
Hillary,"I spoke at Oxford University today about the challenges ahead of us, both abroad and at home, and how we can come together to meet them for the sake of our democracy:
https://t.co/2k9NFnc9Ql"
Don,https://t.co/PTLqvZNwqY
Don,"The Supreme Court is one of the main reasons I got elected President. I hope Republican Voters, and others, are watching, and studying, the Democrats Playbook."
Hillary,"""You wanna give me a good send off? Go knock on some doors.” —@POTUS: https://t.co/iWKBODJGCy"
Don,This is just the beginning! https://t.co/PYwFGVGUxX
Don,17 years since September 11th!
Barry,Retweet if you agree: #LoveIsLove. #SOTU http://t.co/rDiOb8I6w1
Barry,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and your family #GetCovered. https://t.co/0DDAhckcDW"
Barry,Reach out and help build this movement—pitch in: https://t.co/71qtnqx0Xj https://t.co/k6jketWz1r
Don,"Poland, a great country - Congratulations on the 100th Anniversary of your Independence. I will never forget my time there! https://t.co/gEme6McF1x"
Barry,It starts with you. Watch the new @ItsOnUs video aimed at ending sexual assault: http://t.co/OXPMI10JH6
Barry,Tonight the President will announce the actions he's taking to fix our broken immigration system. Tune in at 8 pm ET: http://t.co/Lhx6nuViQf
Barry,"If you think access to higher education is a key to success, stand up for #CollegeOpportunity: http://t.co/ln9TxHN6o9 http://t.co/EoFGRvRTj5"
Don,"There are serious communication issues in the Panhandle after #HurricaneMichael. If you are worried about someone, visit https://t.co/Wr20tNe8Q1 to report it. The State Emergency Operations Center will route these reports to the appropriate local agency for action! #FLStrong"
Don,Thank you West Virginia. I love you! https://t.co/K1OQ98wOh4
Don,"After historic victories against ISIS, it’s time to bring our great young people home! https://t.co/xoNjFzQFTp"
Hillary,"Number of times Trump has tweeted at @Rosie: 65

Number of times Trump has tweeted in support of Mike Pence, his running mate: 21 #VPDebate"
Barry,"In the weekly address, the President discusses how the new trade deal will benefit American workers and businesses: http://t.co/NjuKWBEk62"
Hillary,"An inspiring number of first-time candidates ran and won office in 2018, and organizations like @TrainDems were instrumental to those victories. Over 21,000 candidates and activists have signed up for the NDTC’s trainings, and they’re just getting started. https://t.co/OApLIFOA72"
Barry,"""Now we have before us a solution that prevents Iran from obtaining a nuclear weapon without resorting to war."" —President Obama #IranDeal"
Don,Great Job  Rachel Campos-Duffy on @foxandfriends.
Barry,"From a big NBA fan, congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts, too."
Barry,"WATCH: In the weekly address, President Obama reiterates his commitment to expanding access to education. http://t.co/mysKXSAUix"
Don,.@BrianKempGA ran a great race in Georgia – he won. It is time to move on!
Don,“Great support for Border Security and the Wall.” @foxandfriends  Even greater than anyone would know! “Presidents supporters do not want him to cave.” @SteveDoocy I won’t!
Hillary,"The deadline to make a public comment opposing indefinite detention of immigrant families is the same as another big deadline—November 6. As you GOTV, take five minutes to say #FamiliesBelongTogether: 
https://t.co/gJOAcb0hFz"
Hillary,"""We shouldn’t let our kids think that politics is about pitching a new hotel, or a new golf course, or a TV contract."" —@POTUS"
Don,Thank you Tennessee - I love you! https://t.co/1swpoY7F5x
Hillary,Time to bring CHIP to the Senate floor as promised. This alleged extension until March doesn’t cut it as states freeze enrollment &amp; send out letters warning that coverage will end. This is frightening to parents &amp; wreaks havoc for states. https://t.co/tWtm211w8S
Don,"Just met John James of Michigan. He has every single quality to be your next Great Senator from Michigan. When the people of Michigan get to know John, they will say he is a true star. Also, distinguished Military and a Combat Vet! https://t.co/thRBoBkuFL"
Hillary,The attack on the Orange County HQ @NCGOP office is horrific and unacceptable. Very grateful that everyone is safe.
Don,"This is ridiculous. AG Barr gives Democrats unprecedented accommodations, and they refuse them hours after Chairman Nadler subpoenas those same answers. They’ve had 30 hours with the #MuellerReport and realize the more information they actually get, the more bitter it tastes."
Barry,"Carbon pollution in the atmosphere has hit a dangerous milestone. It's time for action, not denial. http://t.co/PbTnZNaFTi #ActOnClimate"
Don,"Never in the history of our Country has the “press” been more dishonest than it is today. Stories that should be good, are bad. Stories that should be bad, are horrible. Many stories, like with the REAL story on Russia, Clinton &amp; the DNC, seldom get reported. Too bad!"
Barry,Tune in at 4:45 p.m. ET to watch President Obama speak at an event celebrating Hispanic Heritage Month. http://t.co/GXwTQgKqnG
Barry,BREAKING: Watch President Obama announce new steps to help more Americans access #BetterBroadband <U+2192> http://t.co/JD74w0fpzG
Don,JOBS! JOBS! JOBS! https://t.co/3tukVpJpzN
Hillary,"Frank Bruni: Mike Pence’s galling amnesia
https://t.co/yHGzNR3KxI via @NYTOpinion"
Hillary,"We've broken early vote records across the country. Tomorrow, history is up to you, @HFA volunteers! #GOTVforHRC https://t.co/CeSOuULQhm"
Hillary,Running for president was a little different back in 1992. https://t.co/tfWQX8qUsI https://t.co/buDdCaL0xv
Barry,Watch Professor Obama take obstructionists in the Senate back to school with #SCOTUS 101. #DoYourJob https://t.co/GaN9kDsQIp
Barry,Join the @OFA Truth Team and help set the record straight on issues you care about: https://t.co/FgwDveu3Ef https://t.co/aCEFVLB0ko
Barry,The Supreme Court isn't some partisan football to be kicked around. Senate leaders should stop treating it like one. https://t.co/akIkPCcxUM
Barry,"""We respect the past, but we don’t pine for the past. We don’t fear the future."" —President Obama #Selma50 #MarchOn"
Hillary,"When Trump trivializes the sacrifice of our military and veterans, he makes it clear: He has no idea what service to this country means. https://t.co/HgTVdsPTJo"
Don,"Last year, I signed the landmark VA Accountability Act to ensure those who mistreat our Veterans can be held fully accountable. Since my inauguration, we have removed more than 3,600 government employees who were not giving our Vets the care they deserve.... https://t.co/KqWXXt7D4U"
Barry,Marriage equality is one year old. But we still have a long way to go for full equality. #LoveIsLove https://t.co/nwM1XFHKzG
Hillary,Any of these examples proves that Donald Trump is unfit to be president. https://t.co/3mQgqZ7b8V
Barry,"""America is a place where you can write your own destiny."" —President Obama #LoveWins"
Barry,"""On Thursday, I will be the first sitting president to visit a federal prison."" —President Obama"
Hillary,LGBT kids are perfect exactly the way they are. #BornPerfect https://t.co/FFylqTxG5b
Don,REGISTER TO https://t.co/0pWiwCHGbh! #MAGA<U+0001F1FA><U+0001F1F8> https://t.co/ACTMe53TZU
Don,@dbongino I cannot wait to vote for the greatest president ever
Barry,"""We've been talking about the middle class since before it was cool."" —President Obama"
Don,Secretary of State Mike Pompeo was never given or shown a Transcript or Video of the Saudi Consulate event. FAKE NEWS!
Hillary,"""Hillary is the role model Michelle and I want for our daughters and for kids across the country."" —@POTUS https://t.co/AnLw4t3349"
Barry,Time's almost up. Pitch in before the deadline: https://t.co/T5y1mvq8Zu https://t.co/lKZxwjirge
Don,"The corrupt spying operation against Donald Trump’s team is the biggest scandal in political history. Read my new book for the shocking details about the scheme to take down Trump. 
Pick up your copy here<U+0001F447><U+0001F3FB> https://t.co/nFMIucX9kI"
Barry,Taking #ImmigrationAction is the right thing to do. http://t.co/Qmkkv3dqfr
Barry,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.
Don,"Wow! The U.S. added 250,000 Jobs in October - and this was despite the hurricanes. Unemployment at 3.7%. Wages UP! These are incredible numbers. Keep it going, Vote Republican!"
Don,"The New York Times Sanctuary Cities/Immigration story today was knowingly wrong on almost every fact. They never call to check for truth. Their sources often don’t even exist, a fraud. They will lie &amp; cheat anyway possible to make me look bad. In 6 years they will be gone........"
Don,"....Many of the top FBI brass were fired, forced to leave, or left. McCabe’s wife received BIG DOLLARS from Clinton people for her campaign - he gave Hillary a pass. McCabe is a disgrace to the FBI and a disgrace to our Country. MAKE AMERICA GREAT AGAIN!"
Hillary,"""Mr. Pence simply ignored the Donald Trump we have seen on the trail for more than a year."" —@NYTimes https://t.co/zjIh98ur04"
Barry,"Thanks to health care reform, Doris finally has an affordable plan. http://t.co/VvDJo9e7X6 #ThisIsWhy http://t.co/aJE1yeoHjC"
Don,"....Will Robert Mueller’s big time conflicts of interest be listed at the top of his Republicans only Report. Will Andrew Weissman’s horrible and vicious prosecutorial past be listed in the Report. He wrongly destroyed people’s lives, took down great companies, only to be........"
Hillary,"In its 120-year history, @azcentral has never endorsed a Democrat.

Here's why the paper just endorsed Hillary: https://t.co/n3GOmEin4N"
Hillary,“How can you support the troops if you won’t pay taxes?” —Tim #VPDebate https://t.co/GGKa5Iy82m
Don,.@GreggJarrett: “Trump-Russia 'collusion' was always a hoax -- and dirtiest political trick in modern US history” https://t.co/H59Q1UL64g
Hillary,"""I want to thank Tim Kaine and Anne Holton for being our partners on this journey."" —Hillary"
Don,I will be interviewed by Laura Ingraham  tonight at 10:00 P.M. on @FoxNews
Don,"I hope John Brennan, the worst CIA Director in our country’s history, brings a lawsuit. It will then be very easy to get all of his records, texts, emails and documents to show not only the poor job he did, but how he was involved with the Mueller Rigged Witch Hunt. He won’t sue!"
Don,"We have a State of Emergency at our Southern Border. Border Patrol, our Military and local Law Enforcement are doing a great job, but without the Wall, which is now under major construction, you cannot have Border Security. Drugs, Gangs and Human Trafficking must be stopped!"
Don,"Another fantastic #MAGARally tonight in the Great State of Florida. In just 3 days, the People of Florida are going to elect @ScottforFlorida and @RonDeSantisFL to protect your jobs, defend your BORDERS, and CONTINUE MAKING AMERICA  GREAT AGAIN! https://t.co/0pWiwCHGbh<U+0001F1FA><U+0001F1F8> https://t.co/sS78uyafOG"
Don,Nadler (2019) vs. Nadler (1998) https://t.co/IVg7RW3f0F
Hillary,California made the right call: Every worker should be treated with dignity and receive the benefits they've earned. https://t.co/hcw2eSekoG
Don,US-Korea Free Trade Agreement Signing Ceremony! https://t.co/yLFkAZgagG
Barry,Speaking of #YOLO: http://t.co/gHVJID0tvP
Hillary,"Donald Trump said he has ""great respect"" for women. His actions and words say otherwise. https://t.co/DV0KszUZxM"
Don,"The most important way to stop gangs, drugs, human trafficking and massive crime is at our Southern Border. We need Border Security, and as EVERYONE knows, you can’t have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!"
Hillary,"In 1964, Monique was three years old and appeared in “Daisy,” a political ad about avoiding nuclear war. Here’s what she has to say today. https://t.co/guKbMThlmf"
Don,"I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall, some complete. Democrats must end Shutdown and finish funding. Billions of Dollars, &amp; lives, will be saved!"
Don,"The Democrats, much as I suspected, have allocated no money for a new Wall. So imaginative! The problem is, without a Wall there can be no real Border Security - and our Country must finally have a Strong and Secure Southern Border!"
Don,"52% Approval Rating, 93% in Republican Party ( a record )! Pretty amazing considering that 93% (also) of my press is REALLY BAD. The “people” are SMART!"
Barry,Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading us forward. Nothing can stand in the way of millions of voices calling for change.
Don,"Wish I could share with everyone the beauty and majesty of being in the White House and looking outside at the snow filled lawns and Rose Garden. Really is something - SPECIAL COUNTRY, SPECIAL PLACE!"
Hillary,"The crowd fled at the sound of gunshots. 

Imagine the deaths if the shooter had a silencer, which the NRA wants to make easier to get."
Hillary,"On November 9, what kind of world do you want to wake up in? https://t.co/nN0EN1MFpd"
Don,"“‘Trump Imitation Syndrome’ is afflicting the president’s liberal enemies” 

Thank you @MGoodwin_NYPost! https://t.co/KpmsrKCaBZ"
Don,"Because the economy is so good, General Motors must get their Lordstown, Ohio, plant open, maybe in a different form or with a new owner, FAST! Toyota is investing 13.5 $Billion in U.S., others likewise. G.M. MUST ACT QUICKLY. Time is of the essence!"
Don,"Wow, just heard that my poll numbers with Hispanics has gone up 19%, to 50%. That is because they know the Border issue better than anyone, and they want Security, which can only be gotten with a Wall."
Hillary,"""We’re going to make public colleges like Wayne State tuition-free for working families.” —Hillary in Detroit https://t.co/P5fIYT0kHQ"
Hillary,Nobody should wake up on November 9 and wonder whether there is more you could have done. https://t.co/eS3ie0qMIX
Don,"Vietnam is thriving like few places on earth. North Korea would be the same, and very quickly, if it would denuclearize. The potential is AWESOME, a great opportunity, like almost none other in history, for my friend Kim Jong Un. We will know fairly soon - Very Interesting!"
Don,"Very sadly, Murder cases in Mexico in 2018 rose 33% from 2017, to 33,341. This is a big contributor to the Humanitarian Crisis taking place on our Southern Border and then spreading throughout our Country. Worse even than Afghanistan. Much caused by DRUGS. Wall is being built!"
Hillary,"Now, more than ever, we need leaders who understand the needs of minority communities and can work to provide equal treatment under the law. Enter @Lina4HC a candidate running for Harris County Excutive in Texas! https://t.co/aFqNJYZo7T"
Hillary,Passionate about getting Hillary into the White House? There’s always something you can do to help out: https://t.co/hepgWSPXui https://t.co/hCGB7DOom6
Don,"As #RobertMueller approaches the end, interesting how little anti-Trumpers are invoking infamous #SteeleDossier the tabloid essay that slandered @RealDonaldTrump, launched a 1000 investigators, &amp; formed the shaky legal basis for #FISAgate? #CollusionIllusion #CollusionDelusion"
Hillary,"Today is #EqualPayDay, marking how far into 2019 women have to work to match men's earnings from 2018. It's a good day to call your senators and ask them to support the Paycheck Fairness Act: https://t.co/7BpVLZbIsP"
Barry,Watch as President Obama tackles four common myths about our economy. https://t.co/9DdBoFj9y2
Don,“President Donald J. Trump’s Administration is Providing Support to Those Impacted by Hurricane Florence” https://t.co/3neafSgQ1h
Don,"Today Elizabeth Warren, sometimes referred to by me as Pocahontas, joined the race for President. Will she run as our first Native American presidential candidate, or has she decided that after 32 years, this is not playing so well anymore? See you on the campaign TRAIL, Liz!"
Don,"It was my great honor to host a @WhiteHouse Conference on Supporting Veterans &amp; Military Families...

To everyone here today who has served our Country in uniform, &amp; to every Veteran &amp; Military family across our land, I want to express the eternal gratitude of our entire Nation! https://t.co/MK8jUaTGFK"
Hillary,"""LGBT kids don’t need to be cured of anything. They just need to be accepted and loved and embraced.” —Hillary"
Hillary,"Thanks for the kind words, Mike. #VPDebate https://t.co/DfObNG1PM3"
Barry,LIVE: The President is speaking about the benefits of #Obamacare and how to continue progress on health care reform. http://t.co/cYwxrmRJal
Hillary,"For years, Trump has been taking from American taxpayers with both hands and giving nothing back. https://t.co/Xbu9LkD89T"
Hillary,Tune in for a live conversation on making college affordable for all with Hillary and @BernieSanders at @UofNH <U+2192> https://t.co/NQchsSkN8L
Hillary,"""When you're president...knowing what you're doing is a good thing.

And Hillary Clinton absolutely knows what she's doing."" —@FLOTUS"
Barry,BREAKING: @POTUS is taking new commonsense steps to help #StopGunViolence <U+2192> https://t.co/tzn3mMYopc https://t.co/oUwpNeVRNk
Hillary,Just returned from marching in the annual Chappaqua Memorial Day Parade with everyone from Governors to Girls Scouts. Today we honor those who have made the ultimate sacrifice for their country to keep us safe here at home. https://t.co/DlDhtTal2H
Hillary,"In sum: Kavanaugh doesn't think judges should consider public safety or allow common-sense gun laws. Meanwhile, 96 Americans are killed with guns every day. 

Call your senators: (202) 224-3121"
Barry,"WATCH: @POTUS and @FLOTUS play @GayleKing's game ""I love it when..."" during LIVE interview ahead of #SB50 on @CBS!
https://t.co/P30oPoF7Wt"
Hillary,“We need to show each other more kindness and support. The last thing we need in our country is more bullies.” —Hillary
Don,"James Comey just totally exposed his partisan stance by urging his fellow Democrats to take back the White House in 2020. In other words, he is and has been a Democrat. Comey had no right heading the FBI at any time, but especially after his mind exploded!"
Hillary,"I was so honored to be invited to participate in the #SelmaJubilee this weekend.

We're living through a full-fledged crisis in our democracy. But history teaches us that when the struggle feels the hardest is when marching forward is most important. https://t.co/BDDJmkvk7A"
Barry,"""A growing body of research shows that people of color are more likely to be frisked, stopped, questioned, detained."" —President Obama"
Don,"Volkswagen will be spending 800 million dollars in Chattanooga, Tennessee. They will be making Electric Cars. Congratulations to Chattanooga and Tennessee on a job well done. A big win!"
Barry,TONIGHT: Don't miss your chance to see Hawaii. Enter before the deadline. http://t.co/rBwNcVI05c http://t.co/B2SF6XLc4g
Don,"Every time you see a Caravan, or people illegally coming, or attempting to come, into our Country illegally, think of and blame the Democrats for not giving us the votes to change our pathetic Immigration Laws! Remember the Midterms! So unfair to those who come in legally."
Hillary,"Over 500 children are still waiting to be reunited with their parents, five weeks after the administration's deadline to reunify families. Every day they are made to wait is a tragedy."
Hillary,"""I intend to close my campaign the way I began my career: fighting for kids and families..it will be the passion of my presidency."" —Hillary"
Barry,LIVE: President Obama is addressing the nation on the threat of terrorism and keeping the American people safe. https://t.co/6RzqPFT6or
Barry,Think Senate leaders should do their jobs and give Judge Garland a fair hearing? Add your name: https://t.co/lDJoAIBe13 #DoYourJob
Barry,Don't let misinformation go unchallenged. Join the @OFA Truth Team and get the facts to fight back: https://t.co/Vs5CT07FZm
Don,Trump Thunders at Media for Smearing His Supporters after Bomb Scares https://t.co/Ggdhs9reY3 via @BreitbartNews
Hillary,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight"
Barry,Watch why VP Cheney is just as wrong on the #IranDeal as he was on Iraq <U+2192> http://t.co/3PJ1t1gVwu #WrongThenWrongNow https://t.co/BEsELtzC0t
Hillary,"This one's for you, Hillary. https://t.co/KtzpIpSziO"
Hillary,"""A woman who expresses her emotions oftentimes is questioned...it's part of the subtle—and not so subtle—biases that we have. —@POTUS https://t.co/1OKoFD1pIh"
Hillary,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of the United States. https://t.co/MzQNVsr8HN
Hillary,"Trump has built his campaign on demonizing Latinos and immigrants.

Latino voters have the power to stop him. Vote: https://t.co/3TKJ4HnJC7 https://t.co/N2InyT8tyy"
Hillary,"""Hillary Clinton will make solving the climate crisis a top national priority.” —@AlGore"
Hillary,A multimillionaire should never pay a lower tax rate than a teacher or a nurse or a policeman or a firefighter.
Don,"<U+0001F6A8>Happening Now: 
President @realDonaldTrump at the Southern Border with the great men and women who protect our country 24/7/365! THANK YOU!!! https://t.co/QpKThTWwEZ"
