bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yrs_old,assess_cd,price
5,2,2590,8610,1,4,57,5,480000
2,1,1120,217800,1,3,39,2,290000
3,1,1340,21336,1.5,4,70,9,281000
4,1.5,1780,3120,1.5,3,89,11,705000
4,2.5,2920,4000,1.5,5,106,6,1400000
4,3.25,2820,6611,1,3,57,3,485000
3,2.25,1550,1919,3,3,12,3,622000
3,2.25,1600,39848,1,4,57,12,380000
4,2.75,3190,19513,2,4,33,1,2125000
3,1.75,1960,6380,1,4,76,10,561500
3,1,970,9600,1,3,43,11,242000
3,1.5,1360,10726,1,4,49,11,348500
3,1.5,1360,10726,1,4,49,6,370000
6,3.75,3810,6663,2,4,38,9,752000
3,1.75,1340,8250,1,3,30,1,230000
3,2.25,1990,4977,3,3,3,11,715000
3,1.75,1120,10187,1,3,47,2,240415
4,1.75,2060,4080,1.5,3,93,4,562000
3,1.5,1170,4080,1,5,98,4,360000
3,2.5,1610,1246,2,3,1,8,659950
3,2,1890,1599,2,3,3,2,458500
2,2,1070,649,2,3,7,11,259950
3,1.75,1680,6108,1,3,26,12,366000
4,2.75,2890,7821,2,3,1,2,978000
2,1,1360,6120,1,3,68,1,525000
3,1.5,1660,4800,2,3,108,5,926300
2,1,1620,6120,1,3,64,6,750000
2,1,960,6263,1,4,73,9,660000
4,1.75,1000,7200,1.5,4,68,6,305000
2,2.5,2395,6143,1,3,12,3,800000
4,1.75,3050,9440,1,3,49,11,600000
2,1,1120,88327,1.5,4,43,4,435000
4,3.25,2960,4296,2,3,8,5,1135000
3,2.25,1250,1017,3,3,7,11,318000
4,2,1940,5000,1,4,105,8,639000
3,2.5,1750,3900,2,3,38,3,453000
4,1.75,2150,9148,1,4,60,4,800000
2,1.75,1500,6800,1,4,73,5,437000
3,2.75,3230,75889,2,3,90,8,1150000
4,2.5,3000,8645,2,3,30,4,490000
4,1.75,1520,7700,1,4,48,1,499950
3,1.5,1190,10116,1,3,47,11,160134
3,1,990,8255,1,3,62,8,191000
3,1,1250,7280,1,3,50,5,221000
4,2,2080,6360,1,3,55,2,352800
3,2.5,1640,10424,2,3,27,4,350000
4,1.5,1550,3000,1.5,3,97,4,458000
3,1,1290,189486,1,4,55,7,359950
3,3,3250,5093,2,3,11,3,1050000
3,1.75,1260,11775,1,5,73,6,353000
3,3.5,2840,4468,3,3,9,7,717550
3,2.25,1960,6500,2,4,38,1,450000
3,1,760,3090,1,2,112,11,167500
3,1.75,2240,78225,2,5,39,4,550000
4,2.25,2240,9684,2,4,45,2,939000
3,1.75,1820,15570,1,3,67,10,700000
4,3.5,3370,435600,2,3,10,8,480000
3,1,1160,4360,1,4,86,12,501000
3,2.25,1640,8625,1,3,28,9,580000
1,0.75,820,59677,1,3,16,7,527550
4,2.5,2800,4687,2,3,10,9,399000
3,1.75,1780,5000,1.5,3,58,11,240000
4,2.75,2200,268329,1,3,26,9,353000
4,2,1480,3132,1,5,105,9,335000
3,3,2010,2554,2,3,14,11,475000
3,2,2880,5100,1.5,4,89,7,660000
3,1,940,1948,1,5,115,9,551000
4,1.75,1620,10530,1,3,47,8,249950
4,3.25,4400,262666,2,3,27,12,1150000
3,1.75,1530,6743,1,3,60,11,575000
4,2.75,3460,11350,1,4,41,5,1088889
4,2.5,2890,7306,2,3,9,12,515000
3,1.5,1980,11214,1,3,56,8,235000
3,1,1980,3243,1.5,3,103,1,796000
2,1.5,1450,2550,1,3,31,3,450000
4,2.5,1810,6509,2,3,21,5,270000
3,3,2490,27702,2,3,15,4,1705000
3,1,1610,4108,1.5,5,87,1,565000
1,2.5,1820,3008,2,3,105,9,680000
4,2.5,3520,35991,2,4,23,7,864500
4,2.25,3740,18000,1,4,64,1,1150000
3,2.25,2150,30476,2,3,24,12,335000
4,3.25,3526,15958,2,3,18,3,911000
2,1,1070,6625,1,3,65,8,425000
3,1,1410,81021,1,3,66,10,299950
4,2.5,3190,49658,2,3,16,12,864000
2,1,1270,6000,1,3,76,1,425000
4,1.5,1970,14490,1.5,4,52,11,374950
3,2.25,1640,7630,1,4,47,4,247000
3,1,1600,7161,1,3,62,11,475000
3,2.5,3020,5868,2,3,12,5,275000
2,1,1350,368517,1,3,68,5,355000
4,1.75,1870,22072,1,3,56,4,285000
3,2.75,2730,38869,1.5,3,52,11,1338750
2,1,1100,17817,1,3,35,11,325000
5,3.5,4320,40816,2,4,18,11,1670000
3,2.5,2700,9994,1,4,56,3,402000
3,3,3700,16857,1,3,15,10,1100000
4,1.75,2190,9225,1,4,56,3,375000
5,2.75,2840,12253,1,3,55,6,396000
4,2.75,2610,9077,1,4,28,11,320000
3,2.5,2630,5827,2,3,14,7,610000
3,1.5,1090,7698,1,5,49,11,249950
4,3.5,3090,100835,2,3,16,4,675000
2,2,1670,7772,1,4,96,11,448000
3,1,1300,3600,2,3,115,10,819000
3,2.5,3670,18505,1,3,32,2,1250000
4,2.5,1700,6031,2,3,21,2,225000
2,3,2560,982278,1,3,11,7,790000
4,2.5,2770,6000,2,3,22,7,685000
3,3.25,3240,8338,2,3,14,8,812000
2,2.5,2300,6400,1,3,8,2,705000
4,3,2483,6870,2,3,10,8,360000
1,1.5,760,779,3,3,9,7,344000
4,1.5,2040,6900,2,3,112,1,825000
3,1,1200,6120,1,4,70,2,476500
2,1,960,5096,1,5,66,1,379500
3,1.75,2410,35236,1,3,35,7,620000
3,3.25,2260,7701,2,3,15,2,477590
3,1,1910,8190,1,4,69,4,490000
3,1.5,1500,5000,1.5,4,88,6,470000
3,2.25,1360,1236,2,3,9,8,500000
3,1,1320,7341,1,3,33,7,370000
2,1.5,1940,4400,1,3,92,4,790000
4,2.5,2650,18295,2,3,29,6,725000
4,2.75,3040,2800,2,3,109,1,840000
3,1,1240,11108,1,4,63,3,390000
3,2.25,2210,11585,1,4,57,12,507000
3,1.75,1540,6273,1,4,64,9,263500
3,2.5,1320,1683,2,3,11,11,369000
3,2.5,3040,5326,2,3,7,5,500000
2,1,910,4301,1,4,92,2,570000
4,3,2040,7145,1,3,21,10,284000
2,1,980,4108,1,3,68,4,415000
3,1,980,3090,1.5,3,112,11,197500
4,3.75,4420,9492,2,3,53,12,925000
3,2,1570,6300,1,3,62,1,468000
3,1,1600,5001,1.5,5,85,4,355000
4,1.75,1830,6000,1,4,76,10,639000
3,2.5,2820,14250,2,3,24,5,720000
3,1.75,1800,6000,1,5,65,10,381000
3,4,4380,42769,2,5,32,11,1050000
3,3,2980,3730,2,3,10,4,670000
3,1,1690,6658,1,3,73,11,400000
4,3.5,4040,50479,2,3,28,7,910000
3,1,1250,9427,1,3,84,10,294000
3,1.75,1500,10230,1,2,47,5,315001
3,2,1630,10723,1,5,56,6,360000
3,2,1410,2700,2,4,113,1,520000
3,1,1140,4560,1,4,71,10,474000
4,2.5,3280,5876,2,3,11,11,702000
4,3.5,3490,87497,2,3,14,4,728000
4,2.5,2020,7277,2,3,22,8,308000
5,4,4580,4443,3,3,11,11,2000000
3,2.5,2270,7917,2,3,29,11,340000
2,1.75,1310,10200,1,4,68,1,306500
3,2,1420,3600,1.5,4,111,2,716000
4,3,2980,44431,2,2,34,1,950000
5,3,4180,8561,2,3,12,4,673200
4,2.25,1950,6000,1,3,54,3,564500
4,1.75,1790,11801,1,4,41,9,393000
5,1.75,1400,5071,1,3,99,10,425000
3,1,1320,24684,1,3,36,9,150000
4,2.25,1620,106722,1,3,35,3,327000
4,2.5,3120,7448,2,3,17,7,444900
4,2.5,2100,14773,2,3,17,10,305000
3,3.25,1370,1194,3,3,11,7,469000
3,1.75,1520,7875,1,5,46,4,525000
3,2.5,2410,17424,1,3,37,7,330000
4,1,1260,4080,1,4,104,2,618000
4,2.5,2830,7350,1,3,33,5,295500
3,2,2064,46173,2,5,112,11,567035
4,2.25,2640,34870,1,3,38,4,518000
2,1,1020,9200,1,3,37,1,303000
4,2.5,2200,8065,2,3,17,1,300000
3,1.5,1420,7520,1,4,59,5,413107
3,1,1350,3090,1.5,5,101,11,400000
3,1,1290,6859,1,4,74,4,535000
4,2,1680,2600,1,5,100,12,555000
3,2.5,2280,6386,2,3,7,2,312000
3,2.25,1840,3500,1.5,5,105,6,785200
4,2,2040,11850,1,3,56,2,749000
3,1.5,1490,10367,1,3,58,7,285000
4,2.5,2440,5088,2,3,8,6,425000
3,2,1930,15540,1,3,57,8,360000
3,1,1200,6615,1,4,61,5,260000
3,2,1550,8509,1,3,56,5,369000
4,2.5,2180,11132,1,4,37,4,275000
3,2.25,1430,1448,3,3,10,6,407000
2,1.75,1230,5418,1,3,66,8,575000
3,1.5,1670,3852,2,4,87,1,1236000
2,2.5,2720,4913,1,4,79,3,875000
4,1.5,2220,6811,1,4,54,12,320000
3,1.5,1520,9041,1,4,61,9,810000
3,1.75,1590,7620,1,4,31,7,274000
4,1.75,1480,9523,1,3,56,10,239900
4,1.5,1860,7808,1,3,62,9,450000
4,2,1360,60548,1,3,55,1,263400
3,1,1360,5967,1,3,61,6,265000
4,3,2360,6250,1,3,55,6,418000
3,2,2360,5737,2,3,12,7,390000
3,2,1860,7500,1,3,106,7,430000
3,2.25,2630,9705,2.5,4,28,4,1442500
2,1.75,1280,37373,1,4,19,10,297000
4,2.25,2330,7220,2,3,27,12,650000
2,1,720,18000,1,3,65,8,195000
3,3.5,3380,108900,2,3,16,7,554000
3,2,3650,843309,2,4,24,9,550000
3,1.75,1640,4590,1.5,5,64,2,700000
4,1,1730,177657,1.5,3,67,4,300000
2,1,1030,8576,1.5,5,63,2,315000
3,1,1790,5250,1,3,72,9,603000
2,1,840,3400,1,4,91,11,530000
3,1.75,1300,8480,1,3,46,6,397500
3,1,1240,5250,1.5,4,111,3,221000
4,2.25,2170,8050,1,3,39,7,466000
3,1,1330,5412,2,5,110,8,197500
3,3,1390,1080,2,3,9,1,280000
2,1.5,1240,3873,1,4,106,12,412000
2,1,880,6731,1,4,65,4,454000
4,2.25,2540,228254,1,3,25,4,540000
5,1.5,2520,5753,1.5,4,87,9,250000
5,2.25,2510,35691,1,3,48,1,900000
5,1.75,2020,7902,1,3,53,11,245000
3,1.75,2060,7251,1,3,28,3,290000
2,1,930,7742,1,3,82,10,160000
2,1.5,2700,7225,1.5,3,105,10,1260000
2,1,1060,6050,1,3,76,3,325000
2,1,670,6750,1,4,68,10,185000
3,2,1750,4990,1,3,99,12,477000
2,1,930,7623,1,2,73,7,100000
4,2.5,2420,11481,1,3,30,6,345000
4,2.25,2410,14985,1,4,50,5,530000
3,1,1150,7156,1,4,62,6,203000
4,2.5,2480,5000,2,3,11,10,599000
4,1,1310,6000,1.5,3,75,9,370000
3,1,1240,8000,1,4,61,1,140000
3,1,1150,5100,2,3,104,9,500000
3,1.75,1460,4000,1,4,86,4,527200
5,2.75,3060,7015,1,5,36,12,549900
4,2.5,3520,8095,2,3,9,5,760000
2,1,960,4400,1,4,64,5,319000
3,2.5,2430,15264,2,3,18,12,362300
3,2.5,1930,4505,1,4,42,5,421000
3,1,1090,4000,1.5,4,70,7,690000
3,2.5,2790,31798,1,5,62,1,640000
4,1.75,1650,6900,1,3,37,12,238000
3,3,3740,39640,2,3,24,3,789000
6,4,5310,12741,2,3,48,4,1050000
3,2.5,1690,4476,2,3,7,3,302500
4,1.75,1400,7920,1,3,52,5,259950
3,1.5,1440,28516,1,4,40,11,456000
3,2.5,1360,3718,2,3,28,8,369950
3,1.75,1726,197326,2,4,33,10,363750
3,1.75,2220,216493,1,3,26,2,585000
3,2.5,1850,6676,2,3,29,1,268000
5,2.5,2860,4000,2,4,105,3,1200000
3,1,1120,10176,1,3,110,12,345000
4,2.5,2340,19850,2,3,22,10,539000
5,3.25,3760,9792,2,3,31,8,851000
3,2.5,1920,7200,2,3,18,7,900000
3,2.5,3230,5000,2,5,70,10,850000
3,1.75,1260,6500,1,4,49,2,390000
3,1.75,1540,6909,1,4,60,8,345000
3,2.5,1700,3150,2,3,10,8,534500
6,5.25,3600,3960,2,3,44,10,643500
3,2.75,3150,5520,1.5,4,90,11,1206505
2,1.75,1280,4000,1,4,86,11,495000
2,1,980,4120,1,3,65,8,535000
4,2.5,2190,6578,2,3,11,8,435000
4,2,2470,1831,2,3,6,2,305000
4,2.5,2590,7910,2,3,14,4,799000
4,2.5,2580,15031,2,3,16,10,700000
3,2.25,1270,1213,2,3,10,3,467000
3,1,1250,7560,1,3,56,1,263000
4,2.5,4660,7157,2,3,12,9,760000
4,2.5,2019,4435,2,3,7,9,293000
3,2,1490,7929,1,3,26,3,245000
2,1.5,1560,10807,1,2,66,10,181000
3,1,1030,15264,1,4,53,8,240000
4,2.75,2560,7961,1,4,40,8,880000
3,2,1460,6377,1,3,20,9,285000
2,1,770,6017,1,3,65,1,407500
4,2.5,1960,3543,2,3,11,6,325000
3,1.75,1900,10454,1,3,37,5,405000
3,2.5,1970,4120,1.5,3,88,9,291700
3,2.5,2490,18525,2,3,20,9,370000
3,1.5,1430,8960,1,4,62,11,270000
4,2.5,2680,7200,1,3,63,7,800000
3,1.75,1610,3210,1,5,87,2,626500
4,3.5,4300,8406,2,3,28,1,1130000
4,2.5,3200,7545,2,3,12,7,399950
3,1.75,2140,15030,1,4,57,1,419000
4,2.5,4240,43995,2,3,26,2,1160000
4,3.5,3410,10769,2,3,7,2,1405000
4,2.75,2090,8064,2,5,48,12,710000
3,1,1410,4840,1,4,73,12,650000
4,2.5,2820,33750,2,4,31,3,369900
4,2.5,2770,63118,2,3,18,11,641000
3,1,1400,6879,1,3,64,3,403000
3,3.25,3620,4000,2,3,10,7,1015000
4,2.5,2260,13600,1,4,41,5,865000
4,1,2150,3588,2,4,89,10,810000
3,2.5,1256,1154,3,3,10,7,316750
4,2.25,2220,130244,2,3,26,4,652500
6,2.75,2850,15240,1,3,53,8,360000
2,1,700,5100,1,4,62,4,208000
4,2.5,3700,63991,2,3,23,12,898000
4,1.75,1400,11934,1,3,54,3,295000
4,1.75,3130,18253,2,3,37,9,652500
4,3,2170,5764,2,3,23,3,560000
3,1,1020,8400,1,4,58,1,280000
3,2.5,1760,8584,1.5,5,78,11,289950
3,2.5,1860,44093,1,3,37,10,397500
2,1,1140,75132,1,3,59,6,380000
3,2.5,1670,22703,1,3,27,5,415900
2,1.75,1710,8645,1,4,92,2,475000
1,1,500,7440,1,1,87,8,125000
3,1,1470,32670,1,3,57,10,238000
4,1.5,1370,9750,1,3,62,11,296000
6,3,3470,117612,1.5,3,91,6,475000
3,2.25,1650,6250,1.5,3,105,5,390000
3,1,1180,3750,1,3,75,7,425000
6,3,3110,5000,1.5,5,94,10,725000
3,2.25,2080,12134,1,4,42,8,605000
3,1,1600,1950,2,2,109,2,302000
3,2.25,2380,6000,2,5,84,7,886000
4,1.75,1630,6120,1,5,97,10,540000
4,2.25,1910,8400,2,3,40,8,435000
4,3.25,3140,10752,2,3,23,5,409000
3,1,1250,7280,1,3,40,2,405000
3,2.5,1990,3984,2,3,11,1,560200
4,1.75,2110,7208,1,3,40,3,324000
4,2.5,2490,8290,2,3,16,12,390000
2,1,800,5000,1,3,77,3,414000
3,2.5,2360,4670,2,3,17,10,441500
3,2.5,1770,5146,2,3,23,5,375000
4,2.5,2710,5500,2,3,16,10,668500
5,1.5,1940,10202,1.5,4,75,7,540000
4,3.25,3450,11240,2,4,55,2,1035000
4,3.25,3440,4920,2,3,1,10,1345000
4,2.75,2410,9549,1,4,59,9,758000
4,2.25,2290,10687,2,3,37,12,949880
3,1,1030,4089,1.5,3,88,2,570000
4,2.5,2290,12047,2,4,27,4,736000
3,1.5,1490,4400,1.5,4,109,10,670000
4,1.75,2370,8400,1,5,66,5,1130000
4,2,1930,3976,1.5,4,101,12,650000
2,1.75,1600,4000,1,5,97,7,690000
4,2.25,2240,45738,2,3,27,2,610000
2,1,770,4000,1,5,91,2,413500
3,2.5,2300,9752,2,3,47,7,765000
4,2.75,3400,7081,2,3,14,10,828200
2,1,900,4397,1,3,97,4,205000
3,2.5,1450,5175,1,3,20,12,465000
4,2.5,2240,5402,2,3,10,11,556000
4,2.5,1780,4169,2,3,21,4,540000
4,2.5,2320,4254,2,3,11,3,423000
3,1.75,1590,14766,1,3,52,1,375000
3,1,990,12696,1.5,3,79,4,173250
3,1.5,2605,12030,1,3,12,3,599900
5,2.75,2870,4461,1,3,39,2,646000
5,4.75,5180,17811,2,3,14,1,1075000
4,2,2180,3870,1,3,115,7,558000
2,1,850,5225,1,3,66,6,354000
4,4,4050,9517,2,3,25,7,1195000
4,2,2250,4200,1.5,3,106,4,670000
6,4.25,3100,9378,3,3,37,9,1125000
2,1,1747,12250,2.5,4,67,1,267500
4,2.5,2410,4708,2,3,13,6,299800
4,1.75,2070,9120,1,4,57,3,430000
5,1,1860,3040,1.5,3,94,10,775000
3,1,950,5214,1,3,71,5,333000
3,2,1060,11765,1,4,64,7,336000
2,1,880,1712,2,4,70,4,323000
4,2.5,2550,56628,2,3,14,6,575000
2,2.25,1550,2079,2,3,7,6,328000
3,1,1590,4600,1.5,4,89,3,572500
3,1.75,1650,5100,1,5,107,8,600000
4,3,2430,7242,2,3,12,5,412000
3,2.5,1810,7200,1,5,55,3,827500
4,2.5,2890,17349,2,3,21,5,300000
3,2.5,1280,5040,2,4,30,4,415000
7,2.75,3410,4056,1.5,4,109,12,750000
3,2.75,2220,4000,2,3,101,5,800000
3,1,1060,6000,1,3,61,8,420000
3,1.5,1120,8250,1,4,58,10,266000
4,2.5,2680,10590,2,3,11,10,499000
4,1.5,1770,5750,2,3,68,9,440000
3,2,2950,12196,2,4,97,11,495000
2,1.75,1260,5300,1,4,64,2,630000
3,1.75,1430,6818,1,5,43,4,424000
4,2.5,2730,36183,2,3,29,7,760000
4,3.5,3270,15704,2,3,25,4,650000
4,1.75,1720,10018,1,5,55,5,248500
3,1.75,1270,12420,1,4,53,10,379600
4,2.5,3260,10032,1,3,37,5,538000
4,2.5,2050,6360,2,3,27,10,530000
4,2.25,2050,9720,2,3,48,7,545000
4,3,3580,35261,1.5,3,30,3,925000
4,2.75,1960,48787,1.5,4,32,8,565000
2,1,840,3522,1,3,68,11,405100
3,1.75,1300,8800,1,4,52,6,502000
3,2.25,1260,3000,2,3,12,8,425000
3,2.25,1650,2958,2,3,30,3,233500
3,2.5,1710,10341,2,3,29,4,287000
3,1,1180,8775,1,3,49,9,190000
3,2.25,2780,31510,2,3,36,5,666000
2,1,950,3090,1,4,106,4,330000
5,3.5,3620,7821,2,3,57,11,1490000
3,2.25,2140,10256,2,3,28,7,393000
4,2.75,1920,4627,1,3,17,4,353000
2,1,750,6720,1,3,99,9,260000
3,2.5,2060,2551,2,3,14,9,680000
3,2.25,2380,11200,1,4,52,3,921000
2,1,750,6380,1,3,66,1,319000
3,1,1160,10881,1,2,32,2,280000
3,1,1050,6300,1,3,73,7,220000
3,1.5,1740,5200,1,4,38,8,219000
4,2.75,2050,7171,1,3,27,8,528000
3,1.75,1980,8100,1,4,66,4,405000
3,2.5,1690,1618,2,3,1,5,372977
4,3.25,2320,5900,1.5,4,105,11,934550
3,1.5,2480,9900,2,3,75,4,1465000
4,2.25,2290,5350,2,4,57,2,975000
5,2.5,3180,13806,2,4,25,6,800866
7,3.5,3470,16264,2,4,35,8,950000
4,3,1540,4140,1.5,5,113,1,624000
5,2.25,2800,8442,2,3,52,10,1850000
3,1,1050,9876,1,3,62,4,310000
3,1.75,1480,6800,1,4,47,3,315000
3,2,1010,5973,1,5,73,3,675000
3,1.75,1660,8208,1,4,50,1,490000
5,2.25,2760,6350,1,3,57,2,600000
2,1,1040,20524,1,3,66,4,154000
4,1.75,2220,6500,2,4,51,6,480000
3,1,1270,7500,1,3,61,8,196900
3,3.25,2960,39370,2,3,26,10,735000
3,2,1330,8748,1,3,29,9,205500
2,1.75,1210,1040,2,3,1,10,357186
4,2.5,2120,6754,2,3,17,1,275000
3,1.75,2090,12026,1,4,67,2,248500
3,2.5,2680,7836,2,3,25,3,350000
4,2.75,1790,47250,1,3,28,8,390000
3,2.75,1950,12240,1,3,59,11,390000
5,2.25,3740,14913,1.5,4,36,9,660000
3,1.75,1140,8263,1,5,65,9,310000
3,2.5,2480,5137,2,3,15,9,717000
5,2.5,2580,11250,1,3,51,2,260000
3,2,2290,5001,1,4,55,6,745000
4,2.5,2320,12042,1,4,40,4,470000
3,2.5,2530,8820,2,3,18,9,429000
4,2,1400,7140,1,3,46,12,220000
3,3,2060,1850,2,3,8,5,497000
3,1,1640,4000,1.5,5,106,10,716100
4,1,1960,94525,1.5,3,36,12,371000
5,2.75,3000,25175,1,4,54,10,379000
3,1,1320,8500,1,4,61,11,937500
4,2,1760,4500,1.5,5,109,8,720000
3,3.25,2130,2306,2,5,91,4,616000
3,2,1390,7120,1,3,27,3,259000
3,1.75,1400,3825,1.5,4,111,8,538000
3,2.75,3230,9576,1.5,4,49,7,605000
3,1,1110,7603,1,3,48,8,369950
3,2.5,1670,4220,2,3,13,6,310000
3,1,1540,9450,1,4,55,5,227500
4,2.25,2090,7400,1,3,42,1,274000
3,2,1410,8088,1,3,28,12,410000
3,2,1370,78408,1,5,51,6,354800
4,2.25,1910,5120,1,3,61,4,650000
3,2,1678,13862,1,3,21,2,353000
3,1,960,12745,1,4,38,6,224975
2,1.75,2080,13054,1,3,64,9,600000
3,2.25,1790,7700,1,4,39,6,437500
3,2.5,2540,6093,2,3,16,7,567000
5,1.5,1790,11656,2,3,52,6,225000
2,1,940,9330,1,3,74,8,255000
5,3.75,6810,7500,2.5,3,93,10,2479000
2,1,900,4600,1,3,64,2,370000
4,1.75,1900,8800,1,3,40,9,675000
3,1,1440,4268,1,3,62,11,285000
3,1.75,2070,37904,1,4,42,4,310000
4,2.5,2240,7245,1,4,43,2,475000
4,2.5,3320,5034,2,4,9,7,410000
4,2.25,1950,5950,1,3,68,9,895000
3,1.5,1240,7733,1,3,74,2,375000
4,2.5,1830,4694,2,3,12,5,349000
3,1.75,1740,4400,1.5,3,112,4,650500
3,1.75,1410,15120,1,4,65,7,760000
4,2.75,2050,3960,1,4,29,11,480000
4,2.75,3220,16145,2,3,22,9,689000
3,1.75,1960,5000,1,5,104,4,415000
3,1.75,1070,6110,1,4,47,2,195000
5,2.5,2820,9956,1,4,48,3,318000
4,3,4060,35621,1,3,26,7,404000
2,1,800,3090,1,4,90,1,339950
3,1,1260,7897,1,3,36,11,215000
3,2.5,2420,7423,2,3,25,3,339900
1,1.5,810,3211,2,4,33,9,285000
3,1,1600,5000,1.5,3,68,4,550000
4,1,1350,9000,1.5,4,51,5,430000
3,1,970,7790,1,3,48,9,219000
2,1.5,1780,4750,1,4,68,7,555000
3,2,1350,7686,1,3,26,10,233000
3,1.75,1840,19501,1,4,43,5,248000
5,2.25,2550,9200,1,4,40,9,454000
4,2.5,1700,4418,2,3,84,4,950000
3,2.5,2430,7857,2,5,35,5,359000
5,2,2740,8230,1.5,3,53,8,407500
3,1.5,1560,7300,1,4,51,7,224000
2,1,1040,4590,1,3,61,11,210000
4,1.75,1820,9824,1,5,47,7,261000
3,3,1833,1706,3,3,17,3,719000
3,2.5,2160,3738,2,3,21,11,440000
3,2.75,2100,10362,2,3,17,11,525000
3,1.5,1370,9720,2,3,47,7,375000
2,2.5,1414,1960,2,3,29,12,428000
5,3.25,4115,7910,2,3,1,1,988830
3,1.75,1550,6225,1,4,66,5,199950
4,2.25,2100,3671,1.5,3,86,3,840000
3,1.75,1160,7006,1,4,23,2,285000
5,2.5,3597,4972,2,3,9,4,330000
3,1.5,1230,10125,1,3,55,5,147500
4,2.5,2190,7125,2,5,37,11,320000
3,1.75,1040,9000,1,4,48,1,382500
4,2.25,2270,10000,1,5,41,2,596000
4,2.25,1950,7280,2,4,36,10,220000
3,2.5,1880,6818,2,3,22,12,325000
4,2.5,2850,5664,2,3,14,2,679950
2,1,1160,6911,1,3,68,6,175000
3,1.75,1370,10050,1,4,49,8,268000
4,3.5,3260,110579,2,3,18,5,715000
7,2.25,3170,36384,2,3,46,5,600000
0,1,390,5900,1,2,62,3,228000
5,2.5,3450,35880,2,3,23,12,950000
2,1.75,1490,224334,1,3,32,6,475000
3,1.5,1460,78408,1,4,52,3,700000
3,1.75,1300,20700,1,3,53,2,275000
3,1.75,1300,20700,1,3,53,11,369500
4,2,1540,7575,1,4,37,12,215000
4,2.25,2130,7172,2,4,51,5,593450
2,1.75,1350,4614,1,3,7,4,498800
5,3.25,2450,6534,2,3,64,6,849000
4,2.5,1940,4875,2,4,90,12,1151250
5,2.5,2890,5110,2,3,12,5,825000
3,1.75,1680,9769,1,3,26,5,265000
4,2.25,1960,10400,1,4,30,5,285000
3,1.75,1590,7931,1,3,36,9,240000
4,1,1390,17739,1,3,57,11,261000
4,1.75,2440,7350,1,3,37,7,330000
4,2,1850,7560,1,4,37,5,250000
4,2.5,2800,9538,2,3,22,1,350000
3,2.5,3780,35273,1.5,3,29,3,930000
3,2,1910,8050,1,4,35,7,275000
4,2.25,2460,7620,1,3,46,6,325000
1,1,810,5000,1,3,79,2,255000
3,1.5,1900,5250,1,4,72,4,562200
2,1.75,3490,88909,1,3,35,5,952000
3,2.5,2200,7350,1,5,27,4,365000
3,1.5,1190,11996,1,4,46,1,332900
3,2.25,2040,18360,2,4,32,7,721000
4,2.5,2400,3986,2,3,16,3,487275
3,2.5,1670,5791,2,3,20,12,310000
2,1,990,4800,1,3,107,6,245000
3,1.75,2920,10573,1,4,51,7,325000
3,1.75,1840,9401,1,3,44,2,550000
2,1,910,4500,1.5,4,109,9,350000
5,2.5,2950,72309,2,3,9,11,599000
3,1.5,1240,9500,1,4,60,4,259950
4,2.5,1980,7264,2,3,19,3,240000
3,1,1200,10080,1,4,46,3,186000
3,1.5,1280,15028,1,3,33,4,395000
4,2.5,3150,5757,2,3,11,9,475000
5,3.5,3500,10794,2,3,19,4,815000
3,1.5,1680,13751,1,4,64,8,572000
3,2.5,1360,3188,2,3,29,12,419500
3,2.25,2110,7350,1,3,35,2,298700
2,1,2034,13392,1,5,68,9,549000
3,1.5,1900,9994,1,3,55,1,278000
4,2,2380,4500,1.5,3,89,8,455000
5,3.5,4050,13495,1,4,27,5,925000
2,1.5,1120,1201,3,3,16,3,465000
4,4,2850,2970,2,3,16,7,620000
4,2.25,2360,7650,1,3,52,1,499900
5,3,2540,11422,1,3,53,6,620000
3,1.75,1160,6120,1,3,74,10,450000
4,3.5,2710,2147,2,3,8,3,690000
5,2.25,3120,16672,2,4,46,12,1895000
5,2.25,3120,16672,2,4,46,10,1939999
3,2,1870,9527,1,4,64,6,832500
3,1,1010,9678,1,5,60,3,245000
3,2.5,2980,18935,1.5,3,25,4,820000
4,2.75,2420,6495,2,3,10,3,369000
4,3.25,3830,8331,2,3,1,3,1050000
3,3,3040,5067,3,3,22,5,653000
2,1.75,1460,10500,1,3,35,9,220650
5,3,1940,6355,1,3,8,3,300000
4,3.5,3780,20023,2,3,14,6,970000
4,2.5,1950,5451,2,3,11,11,360000
3,2.5,2450,5760,2,3,15,2,672500
4,1.5,1730,7020,1.5,4,62,1,268000
4,1.5,1690,3245,1.5,3,86,12,440000
3,2.5,2550,7200,2,3,34,9,1400000
4,2.5,2290,11072,2,3,29,11,590000
4,2.25,2710,22860,1,4,53,11,359000
4,1.75,1880,7632,1,4,37,10,266500
4,2.5,2930,8679,2,3,1,6,635000
3,2.5,3110,217800,2,3,14,5,559000
4,2.5,3480,38985,2,3,26,5,895000
2,1.5,1110,118047,1,3,54,3,625000
4,2.25,2440,9320,1,4,58,7,650000
4,1.75,2280,7840,1,3,58,12,312500
3,1,900,6099,1,3,71,2,225000
4,1.75,1980,8400,1,3,47,6,425000
3,2.75,3360,41250,1,4,27,10,329999
5,2.25,2340,9225,2,3,42,3,572000
4,2.5,3110,5048,2,3,13,2,386500
2,1,980,5000,1,3,111,9,452000
